Gag,Pol
94.96,95.18
96.16,93.97
90.28,85.69
89.68,89.11
83.49,87.33
82.5,80.64
81.89,77.82
43.45,43.45
94.27,93.67
83.76,84.64
71.06,72.44
86.36,82.73
83.68,87.98
92.93,94.65
70.34,76.45
84.03,84.19
90.67,93.28
21.32,1
11.83,8.22
95.37,93.65
91.75,92.58
83.32,72.89
96.1,96.45
99.31,99.28
98.12,96.95
95.61,95.49
81.22,82.89
95.98,93.3
61.45,49.87
99,99.02
94.52,92.6
97.93,96.87
98.61,98.11
96.91,96.72
24.86,41.78
34.23,5.52
94.03,93.79
95.12,95.24
92.25,85.4
90.26,91.88
84.17,86.26
68.99,80.37
75.51,78.9
92.69,93.93
91.45,94.51
95.33,95.32
37.91,32.76
21.48,51.32
90.09,91.44
92.97,91.59
92.37,88.09
91.88,90.27
90.65,87.57
89.19,91.05
90.98,93.47
4.91,3.57
96.65,96.14
94.22,85.36
92.14,90.92
88.63,91.55
65.99,76.97
98.85,99.59
94.15,90.04
98.6,97.72
95.47,94.12
90.45,89.69
